'Ab_set_id','Category','P-Angles'
41,'sd_free_sets',0.0313517
42,'"sd_free_groups"',
43,'sd_free_sets',0.4701928
44,'"sd_free_groups"',
45,'sd_free_sets',1.7694774
46,'sd_free_sets',3.1567283
47,'sd_free_sets',1.2819672
48,'"sd_free_groups"',
49,'"sd_free_groups"',
50,'"sd_free_groups"',
51,'sd_free_sets',0.4751236
52,'"sd_free_groups"',
53,'sd_free_sets',1.8505821
54,'"sd_free_groups"',
55,'sd_free_sets',2.1277319
56,'"sd_free_groups"',
57,'"sd_free_groups"',
58,'"sd_free_groups"',
59,'sd_free_sets',1.1875222
60,'"sd_free_groups"',
61,'"sd_free_groups"',
62,'sd_free_sets',0.173565
63,'"sd_free_groups"',
64,'"sd_free_groups"',
65,'sd_free_sets',1.1875222
66,'sd_free_sets',0.347988
1,'sd_complex_sets',0.6011993
2,'sd_complex_sets',1.2674874
3,'sd_complex_sets',1.095074
4,'sd_complex_sets',0.6547149
5,'sd_complex_sets',1.2719852
6,'sd_complex_sets',0.5453673
7,'sd_complex_sets',1.5041556
8,'sd_complex_sets',4.4993098
9,'sd_complex_sets',0.3701511
10,'sd_complex_sets',1.3447286
11,'sd_complex_sets',0.5932572
12,'sd_complex_sets',0.7578646
13,'sd_complex_sets',0.7465315
14,'sd_complex_sets',1.1768552
15,'sd_complex_sets',0.5938424
16,'sd_complex_sets',0.3805829
17,'sd_complex_sets',0.7370282
18,'sd_complex_sets',2.1137762
19,'"sd_complex_groups"',
20,'sd_complex_sets',1.0525367
21,'sd_complex_sets',0.3951617
22,'sd_complex_sets',2.9720135
23,'sd_complex_sets',1.4073614
24,'sd_complex_sets',2.0372703
25,'sd_complex_sets',1.7100281
26,'sd_complex_sets',0.6949336
27,'sd_complex_sets',1.2429836
28,'sd_complex_sets',0.6172886
29,'sd_complex_sets',1.8622848
30,'sd_complex_sets',1.5065537
31,'sd_complex_sets',0.5215704
32,'sd_complex_sets',4.2410524
33,'sd_complex_sets',1.21783
34,'sd_complex_sets',1.1032061
35,'sd_complex_sets',4.8220673
36,'sd_complex_sets',0.2764507
37,'sd_complex_sets',0.6088694
38,'sd_complex_sets',2.4657009
39,'sd_complex_sets',2.0022787
40,'sd_complex_sets',1.067098
41,'sd_complex_sets',0.6328579
42,'sd_complex_sets',0.5467167
43,'sd_complex_sets',0.9222914
44,'sd_complex_sets',0.355302
45,'"sd_complex_groups"',
46,'sd_complex_sets',3.1656202
47,'sd_complex_sets',2.1232868
48,'sd_complex_sets',0.9921412
49,'sd_complex_sets',1.5330156
50,'sd_complex_sets',0.6276232
51,'sd_complex_sets',1.173413
52,'sd_complex_sets',1.1212049
53,'sd_complex_sets',0.8987179
54,'sd_complex_sets',4.9788456
55,'sd_complex_sets',4.4993098
